"case_id","title","category","concept_tag","symptom","topology_note","show_outputs","expected_fault","expected_root_cause","osi_layer","severity","expected_next_command","expected_fix_steps","source_lab","difficulty"
"NS-001","Access port in wrong VLAN","VLAN","vlan-assignment","PC1 in the Sales area gets 169.254.x.x instead of a 10.10.10.0/24 address. It cannot ping its gateway 10.10.10.1 or any host.","SW1 Fa0/3 is patched to PC1. Sales = VLAN 10 (10.10.10.0/24), Engineering = VLAN 20 (10.10.20.0/24). Router-on-a-stick on R1 Gi0/0 with subinterfaces.","SW1# show vlan brief
VLAN Name      Status    Ports
---- --------- --------- ------------------------------
10   SALES     active    Fa0/1, Fa0/2
20   ENG       active    Fa0/3, Fa0/4, Fa0/5

SW1# show interfaces Fa0/3 switchport
Name: Fa0/3
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 20 (ENG)

PC1> ipconfig
IPv4 Address: 169.254.71.4
Subnet Mask: 255.255.0.0
Default Gateway: 0.0.0.0","Fa0/3 is an access port in VLAN 20 but PC1 belongs to the VLAN 10 Sales segment, so its DHCP discover never reaches the Sales pool.","vlan_wrong_access_assignment","L2","High","show interfaces Fa0/3 switchport","SW1(config)# interface Fa0/3 | switchport mode access | switchport access vlan 10 ; then release/renew on PC1 and confirm a 10.10.10.x lease.","lab-vlan-basics.pkt","Easy"
"NS-002","VLAN assigned to port but missing from VLAN database","VLAN","vlan-missing","Three HR PCs on SW2 have no connectivity to each other or anything else. Link lights are green.","SW2 ports Fa0/10-12 were configured for HR VLAN 30 (10.10.30.0/24). VTP is in transparent mode so VLANs are not learned from SW1.","SW2# show vlan brief
VLAN Name      Status    Ports
---- --------- --------- ------------------------------
1    default   active    Fa0/13, Fa0/14
10   SALES     active    Fa0/1, Fa0/2
20   ENG       active    Fa0/3

SW2# show interfaces Fa0/10 switchport
Access Mode VLAN: 30 (Inactive)

SW2# show vtp status
VTP Operating Mode: Transparent","VLAN 30 was never created in SW2's VLAN database, so the access ports show 'Inactive' and traffic is black-holed.","vlan_not_defined","L2","High","show vlan brief","SW2(config)# vlan 30 | name HR | exit ; re-verify with show vlan brief that Fa0/10-12 are listed under VLAN 30 and are no longer Inactive.","lab-vlan-basics.pkt","Easy"
"NS-003","VLAN pruned from trunk allowed list","VLAN","trunk-allowed-vlan","Sales PCs on SW1 can reach each other, and Sales PCs on SW2 can reach each other, but the two groups cannot reach across the switch uplink.","SW1 Gi0/1 <-> SW2 Gi0/1 is the inter-switch uplink carrying VLANs 10, 20 and 30.","SW1# show interfaces trunk
Port      Mode  Encapsulation  Status    Native vlan
Gi0/1     on    802.1q         trunking  1

Port      Vlans allowed on trunk
Gi0/1     20,30

Port      Vlans allowed and active in management domain
Gi0/1     20,30

SW2# show interfaces trunk
Port      Vlans allowed on trunk
Gi0/1     1-4094","VLAN 10 is not in the allowed list on SW1 Gi0/1, so Sales frames are dropped at the trunk even though both switches know VLAN 10.","vlan_pruned_from_trunk","L2","High","show interfaces trunk","SW1(config)# interface Gi0/1 | switchport trunk allowed vlan add 10 ; confirm VLAN 10 appears under 'allowed and active' on both ends.","lab-trunking.pkt","Medium"
"NS-004","Native VLAN mismatch on trunk","VLAN","native-vlan-mismatch","Intermittent connectivity between switches and a repeating CDP-4-NATIVE_VLAN_MISMATCH console message. Management VLAN traffic leaks between segments.","SW1 Gi0/1 to SW3 Gi0/2 trunk. Management is VLAN 99.","SW1# show interfaces trunk
Port      Mode  Encapsulation  Status    Native vlan
Gi0/1     on    802.1q         trunking  99

SW3# show interfaces trunk
Port      Mode  Encapsulation  Status    Native vlan
Gi0/2     on    802.1q         trunking  1

SW1# show logging | include NATIVE
%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (99), with SW3 GigabitEthernet0/2 (1).","The two trunk ends disagree on the native VLAN (99 vs 1), so untagged frames land in the wrong VLAN — a connectivity and security problem.","native_vlan_mismatch","L2","Medium","show interfaces trunk","SW3(config)# interface Gi0/2 | switchport trunk native vlan 99 ; clear the log and confirm the CDP mismatch message stops.","lab-trunking.pkt","Medium"
"NS-005","Wrong default gateway on host","Gateway","default-gateway","PC5 can ping other hosts inside 10.10.20.0/24 but nothing outside its own subnet.","Engineering VLAN 20 = 10.10.20.0/24, gateway is R1 subinterface Gi0/0.20 at 10.10.20.1.","PC5> ipconfig /all
IPv4 Address: 10.10.20.55
Subnet Mask: 255.255.255.0
Default Gateway: 10.10.20.254

PC5> ping 10.10.20.1
Reply from 10.10.20.1: bytes=32 time=1ms TTL=255

PC5> ping 10.10.20.254
Request timed out.

R1# show ip interface brief | include Gi0/0
GigabitEthernet0/0.20  10.10.20.1   YES manual up  up","The host's default gateway 10.10.20.254 does not exist; the real gateway is 10.10.20.1, which the host can ping.","host_wrong_default_gateway","L3","Medium","ipconfig /all on PC5","Set PC5 default gateway to 10.10.20.1 (or fix the DHCP pool's default-router option if the address was leased); re-test with ping to an off-subnet host.","lab-intervlan-routing.pkt","Easy"
"NS-006","SVI administratively down","Gateway","svi-shutdown","Every host in VLAN 40 lost off-subnet connectivity at once after a maintenance window. Hosts still ping each other.","MLS1 is a layer-3 switch doing inter-VLAN routing with SVIs. VLAN 40 = 10.10.40.0/24, SVI 10.10.40.1.","MLS1# show ip interface brief | include Vlan
Vlan1    unassigned    YES unset  administratively down down
Vlan10   10.10.10.1    YES manual up                    up
Vlan40   10.10.40.1    YES manual administratively down down

MLS1# show running-config interface Vlan40
interface Vlan40
 ip address 10.10.40.1 255.255.255.0
 shutdown","Interface Vlan40 is administratively shut down, so the gateway address for VLAN 40 is not active and no traffic is routed off the segment.","interface_shutdown","L3","Critical","show ip interface brief | include Vlan","MLS1(config)# interface Vlan40 | no shutdown ; verify the SVI goes up/up and hosts can reach 10.10.40.1 and beyond.","lab-l3-switching.pkt","Easy"
"NS-007","Duplicate IP address between host and gateway","Gateway","duplicate-ip","Users in VLAN 10 report connectivity that works for a few seconds then drops. A duplicate address error appeared on a workstation.","VLAN 10 = 10.10.10.0/24. R1 Gi0/0.10 is the gateway at 10.10.10.1. A printer was statically configured last week.","PRINTER> ipconfig
IPv4 Address: 10.10.10.1
Subnet Mask: 255.255.255.0

R1# show ip interface brief | include Gi0/0.10
GigabitEthernet0/0.10  10.10.10.1  YES manual up  up

SW1# show mac address-table | include 10.10
  10   0060.5c2a.11b3   DYNAMIC  Fa0/8
  10   00e0.f7aa.0091   DYNAMIC  Gi0/1

PC2> arp -a
  10.10.10.1   0060.5c2a.11b3  dynamic","The printer is statically configured with 10.10.10.1, the same address as the router subinterface. Hosts intermittently ARP-resolve the gateway to the printer's MAC.","duplicate_ip_address","L3","Critical","show mac address-table | include 10.10","Re-address the printer to a free host address outside the DHCP range (e.g. 10.10.10.240) and add it to ip dhcp excluded-address; clear ARP caches and re-test.","lab-addressing.pkt","Medium"
"NS-008","Wrong subnet mask puts gateway off-subnet","Gateway","subnet-mask","A newly imaged laptop cannot reach anything, not even the gateway, although the address looks correct at a glance.","Engineering VLAN 20 is 10.10.20.0/24 with gateway 10.10.20.1. The laptop was configured manually.","LAPTOP> ipconfig /all
IPv4 Address: 10.10.20.77
Subnet Mask: 255.255.255.240
Default Gateway: 10.10.20.1

LAPTOP> ping 10.10.20.1
Destination host unreachable.

LAPTOP> route print | include 10.10.20
10.10.20.64  255.255.255.240  On-link  10.10.20.77","A /28 mask places the laptop in 10.10.20.64/28, so 10.10.20.1 is treated as off-subnet and the host tries to route to it via a gateway it cannot reach.","wrong_subnet_mask","L3","High","ipconfig /all on the laptop","Change the mask to 255.255.255.0 (/24), or switch the host to DHCP; confirm the local route becomes 10.10.20.0/24 and the gateway pings.","lab-addressing.pkt","Easy"
"NS-009","Missing ip helper-address for remote DHCP","DHCP","dhcp-relay","Hosts in VLAN 30 never get a lease and fall back to APIPA. Hosts in VLAN 10 and 20 lease normally.","A central DHCP server at 10.10.99.10 serves all VLANs. R1 has subinterfaces Gi0/0.10, .20 and .30.","R1# show running-config interface Gi0/0.30
interface GigabitEthernet0/0.30
 encapsulation dot1Q 30
 ip address 10.10.30.1 255.255.255.0

R1# show running-config interface Gi0/0.20
interface GigabitEthernet0/0.20
 encapsulation dot1Q 20
 ip address 10.10.20.1 255.255.255.0
 ip helper-address 10.10.99.10

PC9> ipconfig
IPv4 Address: 169.254.12.9","Gi0/0.30 has no ip helper-address, so broadcast DHCP DISCOVER frames from VLAN 30 are never relayed as unicast to the server at 10.10.99.10.","dhcp_relay_missing","L3","High","show running-config interface Gi0/0.30","R1(config)# interface Gi0/0.30 | ip helper-address 10.10.99.10 ; renew on a VLAN 30 host and confirm the lease with show ip dhcp binding on the server.","lab-dhcp.pkt","Medium"
"NS-010","DHCP pool exhausted","DHCP","dhcp-pool-exhaustion","Some Sales users get addresses and some do not. The failures started after a training class of 20 extra laptops joined.","R1 is the DHCP server for VLAN 10. The pool was sized for a small office.","R1# show ip dhcp pool
Pool SALES :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (first/next)       : 0 / 0
 Total addresses                : 29
 Leased addresses               : 29
 Pending event                  : none

R1# show running-config | section dhcp
ip dhcp excluded-address 10.10.10.1 10.10.10.200
ip dhcp pool SALES
 network 10.10.10.0 255.255.255.0
 default-router 10.10.10.1
 dns-server 10.10.99.53

R1# show ip dhcp conflict
IP address     Detection method   Detection time","The excluded-address range reserves .1-.200, leaving only 29 usable addresses (.201-.229 after the broadcast), and all of them are leased.","dhcp_pool_exhausted","L3","High","show ip dhcp pool","Shrink the exclusion to 10.10.10.1 10.10.10.20, or shorten the lease time; then clear ip dhcp binding * and confirm leased vs total addresses on show ip dhcp pool.","lab-dhcp.pkt","Medium"
